"","aka","date","page_number","partof_title"
"448","http://www.loc.gov/resource/sn83021194/1773-03-18/ed-1/?sp=1","1773-03-18",1,"the massachusetts spy, or, thomas's boston journal (boston [mass.]) 1772-1775"
"449","http://www.loc.gov/resource/sn83021194/1773-08-05/ed-1/?sp=6","1773-08-05",6,"the massachusetts spy, or, thomas's boston journal (boston [mass.]) 1772-1775"
"450","http://www.loc.gov/resource/sn83021194/1774-03-17/ed-1/?sp=1","1774-03-17",1,"the massachusetts spy, or, thomas's boston journal (boston [mass.]) 1772-1775"
"451","http://www.loc.gov/resource/sn83021194/1774-07-28/ed-1/?sp=1","1774-07-28",1,"the massachusetts spy, or, thomas's boston journal (boston [mass.]) 1772-1775"
"452","http://www.loc.gov/resource/sn83021193/1771-10-31/ed-1/?sp=1","1771-10-31",1,"the massachusetts spy (boston [mass.]) 1770-1772"
"453","http://www.loc.gov/resource/sn83021193/1771-08-22/ed-1/?sp=4","1771-08-22",4,"the massachusetts spy (boston [mass.]) 1770-1772"
"454","http://www.loc.gov/resource/sn83021194/1774-01-13/ed-1/?sp=3","1774-01-13",3,"the massachusetts spy, or, thomas's boston journal (boston [mass.]) 1772-1775"
"455","http://www.loc.gov/resource/sn83021194/1773-08-05/ed-1/?sp=4","1773-08-05",4,"the massachusetts spy, or, thomas's boston journal (boston [mass.]) 1772-1775"
"456","http://www.loc.gov/resource/sn83021193/1772-06-18/ed-1/?sp=3","1772-06-18",3,"the massachusetts spy (boston [mass.]) 1770-1772"
"457","http://www.loc.gov/resource/sn83025582/1774-12-09/ed-1/?sp=1","1774-12-09",1,"the new-hampshire gazette and historical chronicle (portsmouth, n.h.) 1763-1776"
"458","http://www.loc.gov/resource/sn83025582/1775-07-11/ed-1/?sp=1","1775-07-11",1,"the new-hampshire gazette and historical chronicle (portsmouth, n.h.) 1763-1776"
"459","http://www.loc.gov/resource/sn83025582/1774-05-20/ed-1/?sp=3","1774-05-20",3,"the new-hampshire gazette and historical chronicle (portsmouth, n.h.) 1763-1776"
"460","http://www.loc.gov/resource/sn83025582/1769-10-13/ed-1/?sp=2","1769-10-13",2,"the new-hampshire gazette and historical chronicle (portsmouth, n.h.) 1763-1776"
"461","http://www.loc.gov/resource/sn83025582/1770-02-23/ed-1/?sp=2","1770-02-23",2,"the new-hampshire gazette and historical chronicle (portsmouth, n.h.) 1763-1776"
"462","http://www.loc.gov/resource/sn83025582/1775-10-10/ed-1/?sp=2","1775-10-10",2,"the new-hampshire gazette and historical chronicle (portsmouth, n.h.) 1763-1776"
"463","http://www.loc.gov/resource/sn83025582/1775-11-08/ed-1/?sp=2","1775-11-08",2,"the new-hampshire gazette and historical chronicle (portsmouth, n.h.) 1763-1776"
"464","http://www.loc.gov/resource/sn83025582/1770-07-20/ed-1/?sp=2","1770-07-20",2,"the new-hampshire gazette and historical chronicle (portsmouth, n.h.) 1763-1776"
"465","http://www.loc.gov/resource/sn83025582/1772-05-15/ed-1/?sp=2","1772-05-15",2,"the new-hampshire gazette and historical chronicle (portsmouth, n.h.) 1763-1776"
"466","http://www.loc.gov/resource/sn83025582/1772-06-26/ed-1/?sp=2","1772-06-26",2,"the new-hampshire gazette and historical chronicle (portsmouth, n.h.) 1763-1776"
"467","http://www.loc.gov/resource/sn83025582/1775-04-07/ed-1/?sp=1","1775-04-07",1,"the new-hampshire gazette and historical chronicle (portsmouth, n.h.) 1763-1776"
"468","http://www.loc.gov/resource/sn83025582/1774-11-11/ed-1/?sp=4","1774-11-11",4,"the new-hampshire gazette and historical chronicle (portsmouth, n.h.) 1763-1776"
"469","http://www.loc.gov/resource/sn83025582/1770-06-15/ed-1/?sp=1","1770-06-15",1,"the new-hampshire gazette and historical chronicle (portsmouth, n.h.) 1763-1776"
"470","http://www.loc.gov/resource/sn83025582/1769-12-01/ed-1/?sp=2","1769-12-01",2,"the new-hampshire gazette and historical chronicle (portsmouth, n.h.) 1763-1776"
"471","http://www.loc.gov/resource/sn84024739/1776-05-25/ed-1/?sp=2","1776-05-25",2,"the virginia gazette (williamsburg [va.]) 1736-1781"
"472","http://www.loc.gov/resource/sn84024741/1768-03-24/ed-1/?sp=3","1768-03-24",3,"the virginia gazette (williamsburg, va.) 1766-1776"
"473","http://www.loc.gov/resource/sn84024739/1776-01-13/ed-1/?sp=4","1776-01-13",4,"the virginia gazette (williamsburg [va.]) 1736-1781"
"474","http://www.loc.gov/resource/sn84024739/1776-05-11/ed-1/?sp=4","1776-05-11",4,"the virginia gazette (williamsburg [va.]) 1736-1781"
"475","http://www.loc.gov/resource/sn84024739/1769-11-23/ed-1/?sp=1","1769-11-23",1,"the virginia gazette (williamsburg [va.]) 1736-1781"
"476","http://www.loc.gov/resource/sn84024739/1768-11-24/ed-1/?sp=1","1768-11-24",1,"the virginia gazette (williamsburg [va.]) 1736-1781"
"477","http://www.loc.gov/resource/sn84024741/1771-07-18/ed-1/?sp=2","1771-07-18",2,"the virginia gazette (williamsburg, va.) 1766-1776"
"478","http://www.loc.gov/resource/sn84024741/1774-11-10/ed-1/?sp=1","1774-11-10",1,"the virginia gazette (williamsburg, va.) 1766-1776"
"479","http://www.loc.gov/resource/sn84024741/1774-06-09/ed-1/?sp=6","1774-06-09",6,"the virginia gazette (williamsburg, va.) 1766-1776"
"480","http://www.loc.gov/resource/sn84024741/1774-06-23/ed-1/?sp=2","1774-06-23",2,"the virginia gazette (williamsburg, va.) 1766-1776"
